,roi_id,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,GABAa-bz,H3,M1,MU,NAT,NMDA,VAChT,mGluR5,vox_id,pls_x_score_0
12401,10.0,-0.6871611,0.56737226,-0.7070463,-0.7054777,-0.29447535,-0.74523807,0.61722344,0.4040159,-1.1946543,-0.44566873,-0.7743285,0.28705698,-0.0069337385,-0.37471232,-0.26494557,1.0520763,0.27627206,-0.19118299,-0.5450763,12401,2.130022887780848
12409,109.0,1.6742023,0.4304615,-0.5439878,-0.45212227,1.1319416,0.64307827,-0.4090421,1.0139425,1.0866518,0.43856424,1.0905482,0.08737184,0.6951464,1.0334854,1.1922085,0.96011066,-0.16977702,0.4564022,1.3784953,12409,-0.6537645518595782
12417,106.0,2.238843,-0.63486373,-0.145327,-0.108296245,0.48876643,0.5848457,-0.9768328,1.7252573,0.19618987,0.8724171,1.0730008,0.8199969,1.2306856,0.24268688,0.64483607,-0.18213229,-1.1679465,-0.078656025,0.07734567,12417,-7.550127754860901
12418,106.0,2.3935566,-0.08037633,-0.47203013,-0.4416609,0.9411544,0.6073153,-0.63916194,1.7660282,0.5610644,0.9186444,1.1397778,0.42334998,1.7126828,0.6049165,0.9291309,-0.08536798,0.31340423,0.20483215,0.73073626,12418,-5.664181735805436
12421,106.0,2.0787597,0.554729,-0.6482842,-0.5695592,1.3487655,0.7205761,-0.48914713,1.2989992,0.9957932,0.54971755,1.1275921,-0.024563463,1.4476098,1.0982289,1.3035691,0.4232598,-0.18551113,0.50709635,1.4873778,12421,-0.36975974569185566
12422,109.0,1.5054239,0.49687886,0.29559767,0.5872577,1.0600588,1.3633422,-0.34457746,0.89409226,0.965427,0.37544376,1.084699,0.2515111,0.72407436,0.9020662,1.1280341,0.32020912,0.040651366,0.5244397,1.3904375,12422,-0.551147393321493
12424,115.0,-0.21867312,-1.1789544,-0.6346736,-0.56655765,-0.13972802,-0.28008294,-0.60108835,-0.8487865,-0.42613733,-0.14701009,0.94237226,-1.1714025,-1.0365196,-1.3937911,-0.019016422,0.010499865,-0.2166794,0.38593724,-0.120095246,12424,-4.339122688149798
12430,106.0,2.2495837,-0.4339468,0.64413464,0.6919025,0.3784943,0.7306877,-0.9231928,1.619053,0.2986907,0.74543047,0.90971494,0.737423,1.6882621,0.06670983,0.7803143,-0.18121721,-0.02522059,-0.029630214,0.23213355,12430,-7.887360554283077
12431,106.0,2.4477706,0.1537855,-0.26677224,-0.23695697,0.9145657,0.6096621,-0.61568135,1.6741205,0.75802475,0.76757574,1.0145103,0.39058602,2.0702133,0.4673925,1.086842,-0.04147736,0.82112473,0.20306636,0.8377114,12431,-5.298704353934945
12433,106.0,2.2324502,0.66460204,-0.8139307,-0.7779184,1.4126136,0.3782815,-0.45657107,1.5100595,0.8353204,0.60062397,1.0695891,-0.053282477,1.9715306,0.9282113,1.365313,-0.09738605,0.03171494,0.44544327,1.4467512,12433,-0.6829582624515504
12435,113.0,0.9763293,0.27933812,0.18681405,0.4620304,0.95431197,0.88947254,-0.2122706,0.7345299,0.49397072,0.3112142,1.0471675,-0.2700423,0.5523512,0.5813666,0.92909706,-0.116188295,0.59916085,0.62207514,1.1946445,12435,0.14840808274687148
12436,108.0,0.4579751,-0.44064063,-0.70523614,-0.64167243,0.39510491,-0.19159341,-0.38261363,-0.12644061,-0.23277782,0.09060319,1.012561,-1.2486994,-0.36563075,-0.46299332,0.3555441,-0.27619565,-0.31301826,0.5556782,0.32078424,12436,-1.3726059627555702
12438,73.0,-0.026368108,0.96493703,-0.78327364,-0.76553696,-0.6306541,-0.5708239,0.111227125,-1.6198972,-0.20241158,-0.52512145,0.24925782,-1.3397417,-1.1550883,-1.4954123,0.45399016,-0.34941575,0.61859524,0.73996925,0.33489156,12438,7.0458717910966
