roi_id,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,FDOPA,GABAa-bz,M1,MU,NAT,NMDA,VAChT,mGluR5
42.0,19.479965,16.336153,1.5724951,0.06799213,0.36813867,0.75228125,9.750987,1.2807134,2.17,0.71632355,20.047112,25.625465,433.8645,3.795505,10.220556,4.9148426,6.5899215,9.686508,2.18166
43.0,26.999725,21.282526,18.385159,0.7739231,0.39992517,2.3038917,10.614388,1.262618,13.084001,0.66462255,26.55069,36.274776,417.39606,3.4765632,14.47804,7.777052,7.225551,12.205894,2.2759933
44.0,16.687521,16.9191,9.892472,0.3546913,0.33514234,0.46415067,10.52728,1.271176,-0.003,0.5428076,19.004833,21.031939,515.8973,3.3637478,10.746587,5.702392,4.3508167,8.621022,2.0536857
45.0,22.39906,14.163119,20.79208,0.84671247,0.23438953,1.040222,8.428026,1.2790428,6.0675,0.59035474,19.780447,33.371235,652.35693,3.656588,9.0191765,3.7794976,6.031334,9.074057,2.1949158
46.0,0.0,0.025556725,18.406754,0.75204164,-0.19634087,0.7912349,5.666255,1.1417933,-0.003,0.027792163,0.0,0.0,664.85706,1.9338725,0.23336749,-0.15185542,2.147234,7.043049,1.8375763
47.0,10.530412,0.9469359,13.679813,0.57714415,0.10134809,0.74142885,7.9047127,1.242023,-0.003,0.5274677,20.59568,18.149372,510.4752,2.876637,4.8065577,2.6111786,3.3727283,7.76721,1.8950793
48.0,27.393414,21.60998,4.1599617,0.1561848,0.4832464,1.2924589,10.231893,1.269929,10.725,0.81350476,22.625381,29.206198,391.97104,3.946897,9.221283,5.0420294,6.535541,9.780581,2.180782
49.0,0.0,0.08379893,14.113817,0.6188586,-0.09864469,0.5033441,5.778762,1.1958307,-0.003,0.14912888,0.0,0.0,573.2303,2.041725,0.2420632,-0.1472238,2.0266976,7.066236,1.7559578
50.0,25.516525,20.756498,11.669261,0.47797522,0.4549951,1.1102992,10.303529,1.263477,11.658001,0.7821305,23.737757,32.391403,450.35025,4.0218434,8.996613,4.278162,6.403876,9.699593,2.250548
51.0,0.0,0.2118529,13.633767,0.60909814,0.03125121,0.7387596,8.021282,1.2367855,-0.003,0.33364788,0.0,0.0,595.16437,2.6206305,0.25211602,-0.046367615,2.810131,7.848137,1.7279358
