,ext_pet_vox_pls_0,domain
1769,2.329448490293286,autobiographical memory
1770,1.7974218885275155,autobiographical memory
1771,2.123961463901615,autobiographical memory
1772,1.83680632897263,autobiographical memory
1773,1.377614900149061,autobiographical memory
1774,1.8918854965149616,autobiographical memory
1775,1.5834747924772048,autobiographical memory
1776,0.7918067187380597,autobiographical memory
1777,1.0538723989840262,autobiographical memory
1778,0.426199220339201,autobiographical memory
1779,-4.515889871683487,autobiographical memory
1780,-0.3035953141464636,autobiographical memory
1781,-0.33870089631487793,autobiographical memory
1782,-3.068805878996993,autobiographical memory
1783,3.8865629295721886,autobiographical memory
1784,4.335208279354937,autobiographical memory
1785,3.6294079473270062,autobiographical memory
1786,1.8540484886993374,autobiographical memory
1787,-1.8795279382940282,autobiographical memory
1788,3.7860087451464888,autobiographical memory
1789,0.7536989529044755,autobiographical memory
1790,0.013952378314007582,autobiographical memory
1791,-0.7489614018670152,autobiographical memory
1792,-2.6974616014633894,autobiographical memory
1793,-1.9205134431649764,autobiographical memory
1794,1.1969936572222355,autobiographical memory
1795,-1.7785114646721787,autobiographical memory
1796,5.522628145863856,autobiographical memory
1797,4.1018110545695095,autobiographical memory
1798,-3.6000209950446367,autobiographical memory
1799,1.3973622270156347,autobiographical memory
1800,-10.272176635673949,autobiographical memory
1801,-8.967079165400405,autobiographical memory
1802,-7.9780896137725215,autobiographical memory
1803,-6.697408568704855,autobiographical memory
1804,-4.535328681051746,autobiographical memory
1805,-4.572761905192428,autobiographical memory
1806,-3.3988849124959772,autobiographical memory
1807,-1.8195568575288965,autobiographical memory
1808,1.535831039483839,autobiographical memory
1809,5.203054397700354,autobiographical memory
1810,-8.441098725780629,autobiographical memory
1811,-5.352036508376417,autobiographical memory
1812,-6.367156306649952,autobiographical memory
1813,-3.4963799604468386,autobiographical memory
1814,-0.20177404120661033,autobiographical memory
1815,-4.049763692226422,autobiographical memory
1816,-1.550181675829143,autobiographical memory
1817,1.3778141199812715,autobiographical memory
1818,1.0131158115054977,autobiographical memory
1819,6.897143034585117,autobiographical memory
1820,5.735928219422094,autobiographical memory
1821,2.210242859538142,autobiographical memory
1822,1.018266242911434,autobiographical memory
1823,-0.5292105995142518,autobiographical memory
1824,-4.695052433224482,autobiographical memory
1825,0.37583692690148784,autobiographical memory
1826,-0.6621072530660208,autobiographical memory
1827,0.6143293477180455,autobiographical memory
1828,-2.0096142224406015,autobiographical memory
1829,4.636237698114069,autobiographical memory
1830,1.8744638362043067,autobiographical memory
1831,5.418187952718428,autobiographical memory
1832,6.0630468792773105,autobiographical memory
1833,0.7730871169223575,autobiographical memory
1834,-1.1676938216318165,autobiographical memory
1835,-7.080549301294904,autobiographical memory
1836,-2.443918013296239,autobiographical memory
1837,2.646170934577416,autobiographical memory
1838,4.511331854967221,autobiographical memory
1839,4.34717479312918,autobiographical memory
1840,2.3070625352798144,autobiographical memory
1841,-0.30948549367995315,autobiographical memory
1842,-0.2863625991517906,autobiographical memory
1843,-2.025988822887723,autobiographical memory
1844,-0.3283825667333137,autobiographical memory
1845,-0.22932603327192286,autobiographical memory
1846,-4.182576146645563,autobiographical memory
1847,0.16190011805196586,autobiographical memory
1848,0.8898958318937096,autobiographical memory
1849,1.9457107272501482,autobiographical memory
1850,-0.8245401439465736,autobiographical memory
1851,1.2425269610987992,autobiographical memory
1852,2.824279115688445,autobiographical memory
1853,2.55308176397017,autobiographical memory
1854,1.8947034461299899,autobiographical memory
1855,1.4204179179535845,autobiographical memory
1856,-0.780888121057795,autobiographical memory
1857,-2.1064482851556883,autobiographical memory
1858,-0.6175652885448137,autobiographical memory
1859,-0.480521524267094,autobiographical memory
1860,-0.33815466580842973,autobiographical memory
